source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Investing.com'}",Reuters,"After captivity, Israeli-Irish girl won't say 'Gaza' or 'blood'","After captivity, Israeli-Irish girl won't say 'Gaza' or 'blood'",https://www.investing.com/news/world-news/after-captivity-israeliirish-girl-wont-say-gaza-or-blood-3293533,https://i-invdn-com.investing.com/news/world_news_2_69x52._800x533_L_1419494365.jpg,2024-02-06T08:46:12Z,"By Dan Williams
JERUSALEM (Reuters) - More than two months after she was freed from Gaza, Emily Hand no longer speaks in terrified whispers. But the Israeli-Irish girl who was among the youngest Ham… [+3155 chars]"
"{'id': None, 'name': 'Marketscreener.com'}",,Blinken to meet Egypt's Sisi on Gaza hostage deal,"(marketscreener.com) U.S. Secretary of State Antony
Blinken on Tuesday landed in Cairo for his meeting with Egyptian
President Abdel Fatah al-Sisi as the United States works to
advance a Gaza truce and hostage deal mediated by the Egyptians
and Qataris.
 The …",https://www.marketscreener.com/news/latest/Blinken-to-meet-Egypt-s-Sisi-on-Gaza-hostage-deal-45890361/,https://www.marketscreener.com/images/reuters/2024-02/2024-02-06T082433Z_1_LYNXMPEK1508O_RTROPTP_3_ISRAEL-PALESTINIANS-MIDEAST-BLINKEN.JPG,2024-02-06T08:21:33Z,"CAIRO, Feb 6 (Reuters) - U.S. Secretary of State Antony
Blinken on Tuesday landed in Cairo for his meeting with Egyptian
President Abdel Fatah al-Sisi as the United States works to
advance a Gaza … [+910 chars]"
"{'id': None, 'name': 'Investing.com'}",Reuters,Oil prices mostly flat as Blinken's Middle East visit assessed,Oil prices mostly flat as Blinken's Middle East visit assessed,https://www.investing.com/news/commodities-news/oil-prices-mostly-flat-as-blinkens-middle-east-visit-assessed-3293327,https://i-invdn-com.investing.com/news/Crudeoil_800x533_L_1629202474.jpg,2024-02-06T01:20:54Z,"By Stephanie Kelly
(Reuters) - Oil prices were little moved in early trading on Tuesday, as market participants assessed a visit to the Middle East by U.S. Secretary of State Antony Blinken to discu… [+1357 chars]"
"{'id': None, 'name': 'Marketscreener.com'}",,Oil prices mostly flat as Blinken's Middle East visit assessed,"(marketscreener.com) Oil prices were little moved in early
trading on Tuesday, as market participants assessed a visit to
the Middle East by U.S. Secretary of State Antony Blinken to
discuss a ceasefire offer in the region.
 Blinken met Saudi Arabia's de-fact…",https://www.marketscreener.com/news/latest/Oil-prices-mostly-flat-as-Blinken-s-Middle-East-visit-assessed-45888891/,https://img.zonebourse.com/reuters/2016-09/2016-09-08T201411Z_2_LYNXNPEC8716K_RTROPTP_2_USA-ECONOMY-OIL.JPG,2024-02-06T05:25:48Z,"(Repeats story to more subscribers with no changes to text)
* Palestinians hope Blinken visit can deliver Gaza truce
* Ukraine hits Russia's Volgograd oil refinery -source
* POLL-US crude stocks l… [+1701 chars]"
"{'id': None, 'name': 'EURACTIV'}",Georgi Gotev,Scholz brings to Washington EU’s Ukraine aid example,"German Chancellor Olaf Scholz will try to build on the momentum from Europe's success in agreeing new aid for
war-torn Ukraine when he heads to Washington this week, where President Joe Biden is struggling to overcome opposition to a US package.",https://www.euractiv.com/section/global-europe/news/scholz-brings-to-washington-eus-ukraine-aid-example/,https://www.euractiv.com/wp-content/uploads/sites/2/2024/02/Scholz-Biden-800x450.jpg,2024-02-06T07:14:58Z,"German Chancellor Olaf Scholz will try to build on the momentum from Europe’s success in agreeing new aid for war-torn Ukraine when he heads to Washington this week, where President Joe Biden is stru… [+4006 chars]"
"{'id': None, 'name': 'Marketscreener.com'}",,"Minor damage to ship hit by projectile off Yemen's Hodeidah coast - UKMTO, Ambrey","(marketscreener.com) A cargo ship in the Red Sea suffered minor damage after being hit by a projectile while sailing off the coast of Yemen's Hodeidah, the United Kingdom Maritime Trade Operations agency and British maritime security firm Ambrey said on Tuesd…",https://www.marketscreener.com/news/latest/Minor-damage-to-ship-hit-by-projectile-off-Yemen-s-Hodeidah-coast-45888735/,https://www.marketscreener.com/images/reuters/2024-01/2024-01-10T092447Z_1_LYNXMPEK090A7_RTROPTP_3_ISRAEL-PALESTINIANS-SHIPPING.JPG,2024-02-06T04:31:29Z,"(Reuters) -A cargo ship in the Red Sea suffered minor damage after being hit by a projectile while sailing off the coast of Yemen's Hodeidah, the United Kingdom Maritime Trade Operations (UKMTO) agen… [+2178 chars]"
"{'id': None, 'name': 'Marketscreener.com'}",,"Oil steadies after gains, Gaza ceasefire talks in focus","(marketscreener.com) Oil prices inched up in early Tuesday
trade as investors waited to see whether a Middle East trip by
top U.S. diplomat Antony Blinken will bring a halt to the Gaza
war, which has raised concerns about supplies from the major
producing reg…",https://www.marketscreener.com/quote/commodity/BRENT-OIL-4948/news/Oil-steadies-after-gains-Gaza-ceasefire-talks-in-focus-45888792/,https://www.marketscreener.com/images/reuters/2016-09-08T201411Z_2_LYNXNPEC8716K_RTROPTP_2_USA-ECONOMY-OIL.JPG,2024-02-06T04:56:15Z,"* Markets monitoring Gaza ceasefire talks
* POLL-US crude stocks likely rose last week
* Coming up: API data on U.S. crude stocks at 4:30 p.m. ET
Feb 6 (Reuters) - Oil prices inched up in early Tu… [+2577 chars]"
"{'id': None, 'name': 'Investing.com'}",Reuters,"Inflation, US election to drive 2024 markets - JPMorgan trader survey","Inflation, US election to drive 2024 markets - JPMorgan trader survey",https://www.investing.com/news/economy/inflation-us-election-to-drive-2024-markets--jpmorgan-trader-survey-3293312,https://i-invdn-com.investing.com/news/indicatornews_3_800x533_L_1412601605.jpg,2024-02-06T00:10:54Z,"By Yoruk Bahceli
(Reuters) - Inflation and the U.S. presidential election will be the biggest drivers of global markets this year, while liquidity challenges are a growing focus, according to trader… [+2448 chars]"
"{'id': None, 'name': 'Investing.com'}",Investing.com,"Oil prices steady as focus remains on Russia, Middle East disruptions","Oil prices steady as focus remains on Russia, Middle East disruptions",https://www.investing.com/news/commodities-news/oil-prices-steady-as-focus-remains-on-russia-middle-east-disruptions-3293330,https://i-invdn-com.investing.com/news/LYNXNPEB66009_L.jpg,2024-02-06T01:31:35Z,"Investing.com-- Oil prices moved little in Asian trade on Tuesday as a rebound rally ran out of steam, with markets awaiting more cues on supply amid worsening geopolitical conditions in Russia and t… [+2247 chars]"
"{'id': None, 'name': 'Thehillstimes.in'}",The Hills Times,India’s Myanmar Strategy & Complex Geopolitical Challenges,"By: Dipak Kurmi Concerned about the continuous flow of refugees and insurgents across the porous border due to the ongoing crisis, the Indian government has opted to erect a barrier along the Myanmar border. This move aims to put an end to the free movement r…",https://thehillstimes.in/featured/indias-myanmar-strategy-complex-geopolitical-challenges,https://thehillstimes.in/wp-content/uploads/2024/02/1101.jpg,2024-02-06T07:13:45Z,"By: Dipak Kurmi
Concerned about the continuous flow of refugees and insurgents across the porous border due to the ongoing crisis, the Indian government has opted to erect a barrier along the Myanma… [+7093 chars]"
"{'id': None, 'name': 'Thehillstimes.in'}",The Hills Times,India-France strategic partnership towards vision 2047,"By: Dipak Kurmi In this year’s Republic Day celebrations, the esteemed presence of President Emmanuel Macron from France took center stage, adding a touch of international significance. Notably, he stepped into the role as the chief guest, originally designat…",https://thehillstimes.in/featured/india-france-strategic-partnership-towards-vision-2047,https://thehillstimes.in/wp-content/uploads/2024/02/2996320_0_4_1264_510_1920x0_80_0_0_58bf80088d8717ab868fa5acabea6e50.jpg,2024-02-06T06:39:18Z,"By: Dipak Kurmi
In this years Republic Day celebrations, the esteemed presence of President Emmanuel Macron from France took center stage, adding a touch of international significance. Notably, he s… [+9175 chars]"
